Bucket 8 (8):
4,3,1,3,4,8,3,3,2,13,3 [Linha: 717]
1,6,2,9,2,6,3,3,4,6,3 [Linha: 843]
2,11,1,11,4,1,1,12,4,11,3 [Linha: 891]
1,7,1,1,3,7,1,12,2,7,3 [Linha: 1091]
4,1,4,10,3,1,4,9,1,1,3 [Linha: 1166]
3,7,4,7,2,7,3,3,4,10,3 [Linha: 1390]
1,9,2,9,2,13,3,11,4,9,3 [Linha: 1480]
2,1,4,11,1,11,1,13,3,11,3 [Linha: 1562]
2,7,3,1,3,7,3,12,1,7,3 [Linha: 1615]
1,9,1,8,4,8,3,8,3,7,3 [Linha: 1757]
1,13,3,6,4,1,2,1,3,1,3 [Linha: 1760]
3,9,1,5,4,5,2,5,3,7,3 [Linha: 1934]
4,7,4,6,3,5,3,6,1,6,3 [Linha: 2032]
3,4,1,2,2,2,3,11,3,2,3 [Linha: 2061]
1,1,1,4,3,4,4,10,4,4,3 [Linha: 2090]
1,4,4,10,2,1,1,1,3,1,3 [Linha: 2094]
2,1,2,7,2,11,4,7,3,7,3 [Linha: 2283]
4,10,2,10,3,12,3,3,1,10,3 [Linha: 2320]
1,6,3,13,2,6,4,11,3,6,3 [Linha: 2325]
1,3,3,3,4,3,2,13,3,7,3 [Linha: 2387]
4,6,3,6,2,6,4,11,2,9,3 [Linha: 2484]
3,6,3,10,1,6,2,4,2,6,3 [Linha: 2632]
3,9,2,10,4,9,2,9,2,4,3 [Linha: 2646]
1,3,3,9,1,9,4,9,4,11,3 [Linha: 2701]
3,8,1,8,3,13,2,8,3,9,3 [Linha: 2751]
4,11,4,12,1,11,2,11,2,13,3 [Linha: 2800]
2,6,3,1,2,12,3,6,1,6,3 [Linha: 2827]
2,3,3,3,3,13,2,11,4,3,3 [Linha: 3018]
1,5,2,5,4,5,1,11,2,2,3 [Linha: 3034]
2,3,3,3,1,3,4,6,3,11,3 [Linha: 3059]
3,1,1,1,2,9,4,1,4,7,3 [Linha: 3108]
3,13,4,1,1,1,2,1,1,11,3 [Linha: 3119]
2,2,3,10,3,2,3,9,4,2,3 [Linha: 3269]
1,1,3,9,3,1,2,7,2,1,3 [Linha: 3307]
4,4,1,11,2,4,4,7,1,4,3 [Linha: 3357]
3,3,1,3,3,6,4,3,1,8,3 [Linha: 3441]
3,7,2,5,3,5,2,12,4,5,3 [Linha: 3551]
2,4,4,8,4,4,2,5,3,4,3 [Linha: 3584]
2,8,4,2,3,2,2,3,2,2,3 [Linha: 3604]
2,11,3,3,2,13,1,3,2,3,3 [Linha: 3682]
1,4,1,2,3,4,2,4,2,11,3 [Linha: 3822]
4,11,2,4,3,6,1,4,3,4,3 [Linha: 3839]
4,7,4,5,1,1,3,5,1,5,3 [Linha: 3869]
3,2,2,2,1,3,4,8,4,2,3 [Linha: 4044]
3,7,4,3,3,3,2,6,1,3,3 [Linha: 4055]
3,7,3,1,1,1,2,5,4,1,3 [Linha: 4085]
3,12,2,8,4,8,1,8,4,3,3 [Linha: 4096]
4,5,1,5,2,5,2,9,3,12,3 [Linha: 4176]
4,9,3,1,3,12,2,1,4,1,3 [Linha: 4297]
3,6,3,4,2,12,1,6,4,6,3 [Linha: 4353]
4,10,2,5,4,12,1,10,3,10,3 [Linha: 4481]
1,1,2,6,4,5,3,5,2,5,3 [Linha: 4587]
2,12,4,12,1,11,1,12,3,13,3 [Linha: 4798]
2,6,4,6,1,6,3,13,1,4,3 [Linha: 4822]
1,11,4,11,3,11,2,12,3,6,3 [Linha: 4823]
4,13,3,11,3,10,4,10,1,10,3 [Linha: 4865]
3,1,2,4,1,9,2,1,1,1,3 [Linha: 5035]
2,4,2,9,1,4,4,4,3,2,3 [Linha: 5042]
4,9,3,1,4,4,3,4,2,4,3 [Linha: 5151]
4,9,1,11,1,9,2,13,3,9,3 [Linha: 5403]
4,3,3,3,4,6,4,12,1,3,3 [Linha: 5462]
2,8,4,11,4,7,2,7,1,7,3 [Linha: 5605]
1,4,4,2,1,2,2,2,4,1,3 [Linha: 5634]
2,11,4,10,4,11,1,11,3,13,3 [Linha: 5649]
2,8,4,8,3,12,3,8,4,9,3 [Linha: 5760]
4,6,4,7,1,11,2,6,1,6,3 [Linha: 5892]
3,12,4,10,3,10,2,10,2,13,3 [Linha: 5908]
4,6,2,10,1,10,4,10,3,13,3 [Linha: 5914]
1,3,2,3,3,7,1,13,4,3,3 [Linha: 5935]
2,2,4,2,3,11,1,2,4,8,3 [Linha: 6424]
1,8,2,13,4,8,2,3,3,8,3 [Linha: 6470]
4,7,1,5,4,2,1,2,3,2,3 [Linha: 6534]
2,9,4,4,4,7,2,7,3,7,3 [Linha: 6658]
4,6,2,7,2,6,3,11,1,6,3 [Linha: 6869]
2,5,3,5,4,6,2,2,4,5,3 [Linha: 6875]
2,2,1,2,2,3,3,2,1,11,3 [Linha: 6893]
4,4,2,4,4,10,1,4,1,12,3 [Linha: 6920]
3,5,2,6,4,6,3,6,4,7,3 [Linha: 6945]
4,5,1,6,2,6,4,6,1,9,3 [Linha: 7034]
3,4,3,1,1,4,2,4,4,7,3 [Linha: 7062]
3,1,1,2,4,1,2,1,3,12,3 [Linha: 7097]
2,10,3,10,2,13,4,9,1,10,3 [Linha: 7197]
4,10,4,8,2,8,3,8,4,11,3 [Linha: 7347]
3,6,2,3,2,13,1,6,2,6,3 [Linha: 7441]
4,3,3,3,1,3,2,9,1,4,3 [Linha: 7444]
2,5,1,12,4,5,4,6,1,5,3 [Linha: 7452]
1,4,4,13,1,3,3,4,4,4,3 [Linha: 7561]
4,6,4,11,1,12,3,6,2,6,3 [Linha: 7628]
1,12,2,6,4,6,3,6,1,5,3 [Linha: 7729]
2,6,1,10,4,6,3,6,4,13,3 [Linha: 7734]
2,4,4,13,3,6,4,4,3,4,3 [Linha: 7817]
4,4,3,7,1,4,1,11,3,4,3 [Linha: 7874]
2,12,2,4,4,4,3,4,1,6,3 [Linha: 7880]
2,12,3,8,2,8,2,6,4,8,3 [Linha: 7977]
4,4,4,9,1,13,1,9,2,9,3 [Linha: 7997]
4,9,4,8,3,5,1,5,2,5,3 [Linha: 8040]
4,10,1,5,3,2,4,2,1,2,3 [Linha: 8183]
4,10,1,1,2,4,3,1,2,1,3 [Linha: 8296]
4,5,1,10,1,5,3,5,1,2,3 [Linha: 8329]
4,4,3,4,1,12,1,4,3,13,3 [Linha: 8371]
3,1,4,1,2,7,3,2,1,1,3 [Linha: 8381]
2,2,2,9,2,13,4,2,3,2,3 [Linha: 8414]
1,7,4,10,4,7,3,4,2,7,3 [Linha: 8480]
4,2,2,3,4,3,1,3,3,8,3 [Linha: 8645]
3,10,1,9,2,10,4,10,4,12,3 [Linha: 8722]
1,3,2,3,4,3,4,12,4,5,3 [Linha: 8835]
2,10,3,3,1,3,4,3,1,6,3 [Linha: 8853]
3,4,4,2,3,2,1,13,1,2,3 [Linha: 8877]
2,8,1,8,4,9,3,8,1,1,3 [Linha: 9209]
1,12,2,11,3,2,4,2,1,2,3 [Linha: 9287]
1,3,3,6,2,11,1,6,4,6,3 [Linha: 9385]
4,1,3,2,2,11,2,1,3,1,3 [Linha: 9472]
2,2,3,5,4,2,1,2,4,10,3 [Linha: 9694]
2,12,2,2,3,13,1,2,4,2,3 [Linha: 9749]
3,7,2,12,1,7,2,7,1,3,3 [Linha: 9775]
1,4,2,5,3,2,2,2,1,2,3 [Linha: 9827]
1,4,3,1,2,4,4,4,1,8,3 [Linha: 9849]
1,11,1,12,1,13,3,12,2,12,3 [Linha: 9896]
3,12,4,9,2,9,1,9,4,3,3 [Linha: 9971]
Suporte: 0.0131

Bucket 2 (2):
2,11,2,8,4,8,2,10,1,11,2 [Linha: 13]
1,12,2,12,4,13,2,11,3,13,2 [Linha: 27]
1,10,1,3,4,3,1,7,2,7,2 [Linha: 34]
2,7,3,7,4,6,1,6,2,8,2 [Linha: 48]
4,4,1,4,2,9,2,8,1,8,2 [Linha: 95]
4,13,1,13,3,13,3,7,4,3,3 [Linha: 122]
2,8,1,13,1,8,3,4,4,4,2 [Linha: 146]
4,10,3,10,2,4,2,12,4,12,2 [Linha: 167]
2,10,4,10,4,12,2,12,1,4,2 [Linha: 171]
1,9,4,9,4,10,2,3,4,3,2 [Linha: 174]
4,7,2,6,1,13,4,13,2,7,2 [Linha: 178]
2,12,1,3,1,7,2,7,3,12,2 [Linha: 180]
4,2,2,13,3,7,1,13,1,7,2 [Linha: 248]
1,8,3,10,4,5,3,8,1,5,2 [Linha: 249]
4,3,3,12,4,12,1,12,3,11,3 [Linha: 262]
3,13,3,11,4,5,2,11,3,5,2 [Linha: 263]
1,8,1,4,1,11,3,4,4,8,2 [Linha: 264]
4,7,4,9,1,9,3,5,2,7,2 [Linha: 330]
1,8,2,13,1,13,4,8,1,10,2 [Linha: 368]
1,1,1,11,1,13,3,13,2,11,2 [Linha: 375]
3,5,4,5,4,2,4,3,3,3,2 [Linha: 378]
1,6,4,6,4,11,1,11,1,1,2 [Linha: 389]
4,3,3,3,1,9,4,9,4,11,2 [Linha: 399]
2,6,4,10,3,13,2,13,3,6,2 [Linha: 415]
2,5,3,9,4,2,3,2,2,9,2 [Linha: 448]
4,3,1,12,4,4,2,4,4,12,2 [Linha: 476]
1,13,1,11,1,5,4,5,3,13,2 [Linha: 481]
2,1,1,5,3,5,4,4,1,4,2 [Linha: 492]
2,3,1,3,3,8,2,7,2,8,2 [Linha: 504]
3,10,3,2,1,11,4,10,4,2,2 [Linha: 507]
4,10,1,8,1,6,3,8,3,10,2 [Linha: 541]
4,1,1,6,2,4,4,6,3,6,3 [Linha: 549]
2,2,4,1,2,1,2,11,1,2,2 [Linha: 553]
3,10,4,11,1,11,3,11,3,7,3 [Linha: 554]
1,13,2,9,2,1,4,13,2,13,3 [Linha: 556]
4,3,3,4,2,6,4,4,1,3,2 [Linha: 578]
2,3,4,3,1,2,2,2,4,6,2 [Linha: 587]
4,7,2,11,1,11,3,9,4,9,2 [Linha: 603]
3,2,4,2,3,3,2,10,4,10,2 [Linha: 631]
1,1,3,2,4,13,1,13,4,2,2 [Linha: 634]
1,2,4,8,3,2,2,1,3,1,2 [Linha: 637]
4,12,3,3,3,6,4,6,4,3,2 [Linha: 646]
2,3,4,8,2,8,2,12,1,12,2 [Linha: 684]
1,13,4,13,2,1,4,12,1,12,2 [Linha: 714]
3,9,1,2,4,3,2,2,1,9,2 [Linha: 733]
4,13,1,11,3,8,4,8,2,11,2 [Linha: 735]
4,10,1,10,2,11,2,12,1,12,2 [Linha: 741]
3,8,4,12,3,12,1,2,2,8,2 [Linha: 743]
4,9,4,3,1,4,2,4,2,9,2 [Linha: 773]
3,10,2,9,4,10,2,13,1,13,2 [Linha: 838]
3,7,4,7,2,3,4,11,2,11,2 [Linha: 846]
2,12,2,2,4,12,3,10,3,2,2 [Linha: 849]
1,11,3,12,3,11,1,12,1,13,2 [Linha: 875]
3,13,2,11,2,13,3,9,2,9,2 [Linha: 881]
1,11,4,11,4,4,4,7,1,4,2 [Linha: 888]
2,2,2,7,4,6,3,7,4,7,3 [Linha: 902]
3,1,1,1,4,2,2,2,4,7,2 [Linha: 904]
1,5,1,13,3,10,3,5,4,13,2 [Linha: 911]
3,11,1,8,2,11,4,5,4,11,3 [Linha: 920]
1,7,3,8,4,9,1,9,2,8,2 [Linha: 921]
2,12,3,10,2,11,3,12,4,11,2 [Linha: 932]
2,3,2,13,3,2,4,2,1,3,2 [Linha: 940]
1,3,1,4,4,4,2,13,3,3,2 [Linha: 947]
2,7,3,9,4,8,3,8,1,9,2 [Linha: 949]
1,3,1,11,4,7,2,11,3,11,3 [Linha: 985]
4,10,3,1,2,10,3,13,2,1,2 [Linha: 1003]
2,10,4,7,3,10,3,9,1,10,3 [Linha: 1004]
1,2,4,6,1,10,1,6,3,2,2 [Linha: 1005]
3,9,3,13,3,4,1,13,2,13,3 [Linha: 1027]
2,6,3,6,3,9,3,11,4,9,2 [Linha: 1029]
2,10,1,4,3,4,4,7,1,10,2 [Linha: 1075]
2,13,1,1,4,13,4,6,3,13,3 [Linha: 1089]
4,12,1,3,1,13,4,3,3,12,2 [Linha: 1132]
1,3,2,12,1,5,3,5,3,12,2 [Linha: 1150]
4,7,3,13,1,7,1,13,4,1,2 [Linha: 1163]
4,3,4,5,4,4,1,3,2,4,2 [Linha: 1174]
4,1,1,2,1,13,1,1,4,13,2 [Linha: 1175]
1,5,2,13,2,5,3,13,1,7,2 [Linha: 1201]
4,1,1,3,2,3,3,1,4,4,2 [Linha: 1234]
3,11,2,11,1,8,4,11,2,1,3 [Linha: 1239]
1,6,2,6,3,7,4,8,3,8,2 [Linha: 1252]
3,9,2,12,3,12,2,9,4,1,2 [Linha: 1301]
1,10,4,12,2,9,2,12,1,9,2 [Linha: 1311]
1,8,2,8,1,13,1,2,2,2,2 [Linha: 1322]
4,7,3,11,1,2,4,2,1,11,2 [Linha: 1407]
3,13,2,13,1,5,4,7,1,13,3 [Linha: 1426]
2,5,1,8,4,5,2,13,4,13,2 [Linha: 1431]
1,10,3,6,4,1,1,1,4,6,2 [Linha: 1445]
1,13,2,13,2,10,3,9,1,9,2 [Linha: 1474]
3,6,3,12,4,9,1,12,2,6,2 [Linha: 1485]
2,3,1,3,2,4,3,10,1,10,2 [Linha: 1491]
3,5,1,12,2,12,1,5,1,13,2 [Linha: 1498]
2,3,4,7,2,7,1,3,3,5,2 [Linha: 1509]
4,5,2,12,1,12,2,7,4,7,2 [Linha: 1544]
4,9,3,8,1,9,1,8,3,13,2 [Linha: 1575]
4,8,4,2,3,2,2,3,1,8,2 [Linha: 1590]
2,13,2,2,1,2,4,6,3,6,2 [Linha: 1625]
4,6,4,4,2,6,3,12,2,12,2 [Linha: 1626]
1,11,2,8,4,8,1,1,4,11,2 [Linha: 1659]
1,1,4,2,3,2,3,1,2,3,2 [Linha: 1680]
1,8,1,12,3,6,2,8,4,12,2 [Linha: 1737]
2,10,3,7,1,10,4,9,1,9,2 [Linha: 1747]
3,9,1,9,1,4,3,13,3,4,2 [Linha: 1759]
2,4,1,6,1,1,4,6,2,1,2 [Linha: 1763]
2,12,4,12,3,9,1,12,1,3,3 [Linha: 1833]
1,12,4,11,4,10,1,11,2,12,2 [Linha: 1849]
3,4,4,13,1,6,1,4,2,6,2 [Linha: 1863]
2,13,4,8,3,13,4,6,1,6,2 [Linha: 1871]
3,8,1,7,4,8,1,4,2,8,3 [Linha: 1877]
2,10,2,13,1,10,3,13,4,5,2 [Linha: 1900]
1,1,4,10,2,9,1,10,1,9,2 [Linha: 1901]
4,13,2,1,2,3,3,1,4,3,2 [Linha: 1929]
1,13,2,8,2,12,4,8,4,12,2 [Linha: 1930]
4,1,2,12,3,12,1,1,3,6,2 [Linha: 1935]
2,4,1,4,2,3,4,3,1,1,2 [Linha: 1967]
4,3,3,11,1,3,4,11,2,4,2 [Linha: 1988]
1,9,1,3,3,9,3,12,2,12,2 [Linha: 1990]
4,11,2,9,3,2,3,9,2,2,2 [Linha: 2008]
1,5,2,6,3,6,3,8,2,5,2 [Linha: 2031]
2,13,1,4,3,13,2,8,1,13,3 [Linha: 2049]
3,6,3,11,3,5,4,11,1,11,3 [Linha: 2055]
4,11,2,1,3,9,4,1,4,9,2 [Linha: 2131]
3,2,2,11,3,11,1,4,4,2,2 [Linha: 2139]
3,4,4,1,2,11,4,4,4,11,2 [Linha: 2150]
1,3,2,2,3,6,4,6,3,3,2 [Linha: 2159]
1,6,1,10,2,6,2,10,1,9,2 [Linha: 2163]
3,11,1,10,4,11,3,4,3,10,2 [Linha: 2175]
3,1,4,7,3,7,3,5,1,1,2 [Linha: 2222]
2,12,1,6,4,12,1,12,4,8,3 [Linha: 2234]
1,10,2,10,3,12,2,5,4,5,2 [Linha: 2240]
2,12,4,5,3,12,4,12,1,2,3 [Linha: 2244]
4,6,4,1,1,9,3,1,2,6,2 [Linha: 2263]
1,10,1,4,2,5,2,4,2,10,2 [Linha: 2278]
3,5,2,9,4,9,4,4,2,5,2 [Linha: 2280]
4,13,3,10,2,13,1,13,1,8,3 [Linha: 2289]
1,11,4,13,2,7,1,7,2,13,2 [Linha: 2296]
1,7,1,10,4,9,3,10,1,9,2 [Linha: 2330]
1,5,3,12,1,3,2,3,2,12,2 [Linha: 2336]
2,6,3,7,1,7,3,6,4,3,2 [Linha: 2361]
3,12,2,6,3,6,4,3,1,12,2 [Linha: 2397]
3,2,4,5,4,4,3,5,2,2,2 [Linha: 2414]
2,1,4,10,1,13,3,13,4,13,3 [Linha: 2416]
2,12,4,12,2,6,1,13,2,13,2 [Linha: 2435]
2,8,2,12,4,6,3,8,3,6,2 [Linha: 2440]
2,12,3,12,3,7,3,11,2,7,2 [Linha: 2441]
1,6,1,7,3,2,4,6,2,7,2 [Linha: 2488]
4,12,4,13,3,12,2,8,4,8,2 [Linha: 2510]
1,13,2,7,1,7,2,13,4,6,2 [Linha: 2523]
1,1,3,1,4,2,2,5,1,5,2 [Linha: 2524]
4,3,4,10,3,10,3,12,1,12,2 [Linha: 2555]
1,13,1,7,2,7,1,9,2,9,2 [Linha: 2577]
3,1,1,5,4,4,2,5,1,1,2 [Linha: 2640]
3,8,1,9,3,9,2,10,4,8,2 [Linha: 2700]
4,10,1,7,2,7,3,10,1,12,2 [Linha: 2705]
2,3,4,8,1,8,2,8,1,2,3 [Linha: 2727]
2,12,3,12,2,8,3,2,4,2,2 [Linha: 2761]
3,11,2,11,4,8,4,3,3,3,2 [Linha: 2776]
2,5,1,6,2,6,4,13,3,13,2 [Linha: 2788]
4,11,3,1,4,12,1,11,2,1,2 [Linha: 2796]
3,1,2,1,4,9,1,4,2,9,2 [Linha: 2807]
1,9,3,9,2,6,1,6,3,7,2 [Linha: 2837]
4,13,3,13,3,2,4,2,1,10,2 [Linha: 2907]
3,13,1,11,4,7,4,13,4,11,2 [Linha: 2918]
4,11,2,9,3,11,1,9,1,6,2 [Linha: 2943]
2,13,4,4,2,4,1,7,4,13,2 [Linha: 2948]
4,1,1,4,2,1,1,7,4,7,2 [Linha: 2981]
1,5,2,5,4,6,1,3,2,6,2 [Linha: 2991]
3,13,1,9,4,13,3,8,1,13,3 [Linha: 3023]
2,7,2,1,1,7,3,3,1,1,2 [Linha: 3033]
2,8,3,4,1,10,2,4,1,8,2 [Linha: 3090]
4,1,3,4,4,4,3,10,2,10,2 [Linha: 3118]
4,11,4,6,3,12,1,12,2,11,2 [Linha: 3120]
1,11,1,8,3,13,1,13,4,8,2 [Linha: 3128]
4,6,3,12,1,1,4,12,4,1,2 [Linha: 3152]
2,4,3,5,4,10,3,10,4,4,2 [Linha: 3166]
3,2,2,2,4,12,1,9,4,9,2 [Linha: 3173]
2,8,3,1,3,2,2,1,3,8,2 [Linha: 3187]
2,11,2,2,2,7,4,7,1,11,2 [Linha: 3195]
1,13,4,7,1,12,3,7,3,13,2 [Linha: 3206]
2,10,3,10,4,3,4,7,2,3,2 [Linha: 3209]
1,3,3,3,2,1,3,10,4,10,2 [Linha: 3214]
3,7,2,7,3,13,4,1,4,13,2 [Linha: 3226]
4,3,3,6,4,11,2,6,1,3,2 [Linha: 3328]
3,10,1,10,3,2,4,8,4,10,3 [Linha: 3360]
3,1,4,1,3,5,2,10,1,10,2 [Linha: 3363]
1,12,2,10,4,10,3,12,2,5,2 [Linha: 3379]
2,4,3,1,2,3,1,3,2,1,2 [Linha: 3387]
2,2,4,2,4,12,4,1,3,1,2 [Linha: 3396]
1,10,3,2,2,11,1,11,3,11,3 [Linha: 3401]
4,6,4,7,4,1,3,6,2,1,2 [Linha: 3411]
2,11,1,7,4,9,1,11,1,9,2 [Linha: 3432]
1,5,2,4,4,5,2,9,4,4,2 [Linha: 3463]
1,11,4,5,3,4,2,5,4,11,2 [Linha: 3514]
1,10,1,7,2,10,1,3,3,10,3 [Linha: 3574]
2,10,3,13,3,8,1,8,1,10,2 [Linha: 3615]
2,5,2,12,4,13,3,13,4,12,2 [Linha: 3624]
3,10,1,8,3,8,1,13,2,10,2 [Linha: 3640]
2,3,4,3,2,2,2,6,3,6,2 [Linha: 3669]
3,4,3,3,2,4,2,3,2,2,2 [Linha: 3683]
3,8,3,11,2,11,2,9,1,9,2 [Linha: 3684]
4,13,1,13,2,10,2,2,2,13,3 [Linha: 3743]
4,13,2,3,1,6,2,13,3,3,2 [Linha: 3770]
3,6,3,7,2,10,4,6,1,10,2 [Linha: 3783]
3,5,3,12,4,5,4,6,1,12,2 [Linha: 3800]
3,4,2,4,2,5,1,9,3,5,2 [Linha: 3830]
3,13,1,4,2,1,4,13,4,4,2 [Linha: 3841]
3,4,3,6,1,12,3,12,2,6,2 [Linha: 3843]
3,2,3,6,1,6,2,8,4,2,2 [Linha: 3896]
4,2,3,2,4,5,2,5,3,1,2 [Linha: 3903]
1,10,3,10,3,13,4,1,3,1,2 [Linha: 3967]
3,8,4,8,4,9,1,10,3,9,2 [Linha: 4020]
4,3,1,7,2,3,3,7,3,11,2 [Linha: 4022]
1,13,3,1,2,1,2,9,1,9,2 [Linha: 4025]
3,13,2,10,2,12,1,12,1,13,2 [Linha: 4040]
3,13,1,2,2,1,3,1,1,13,2 [Linha: 4050]
1,8,4,10,1,10,2,2,2,10,3 [Linha: 4051]
1,7,1,4,4,8,4,4,2,7,2 [Linha: 4057]
2,13,4,1,1,13,1,9,1,1,2 [Linha: 4058]
1,6,3,10,2,6,4,10,1,12,2 [Linha: 4073]
1,4,2,7,3,4,2,2,1,7,2 [Linha: 4078]
1,3,3,9,3,13,4,13,4,9,2 [Linha: 4105]
2,5,1,2,2,6,3,2,3,5,2 [Linha: 4142]
3,10,1,1,2,10,3,1,2,12,2 [Linha: 4153]
2,11,1,7,3,12,4,12,2,7,2 [Linha: 4160]
2,12,2,1,3,12,1,1,2,2,2 [Linha: 4163]
1,4,1,3,1,8,3,8,2,3,2 [Linha: 4183]
4,5,2,7,1,7,2,13,1,5,2 [Linha: 4185]
1,6,2,11,4,7,2,7,3,11,2 [Linha: 4186]
3,13,4,8,2,8,2,6,1,6,2 [Linha: 4205]
3,12,4,3,1,11,4,12,2,3,2 [Linha: 4239]
1,10,3,2,3,12,3,10,1,12,2 [Linha: 4244]
1,13,4,10,4,13,3,11,2,11,2 [Linha: 4248]
1,13,1,4,2,10,3,13,3,10,2 [Linha: 4258]
2,7,2,12,2,4,3,4,1,7,2 [Linha: 4259]
1,12,1,3,4,12,1,9,4,3,2 [Linha: 4261]
3,9,4,11,2,11,1,11,2,3,3 [Linha: 4281]
4,9,1,9,1,7,1,1,4,1,2 [Linha: 4285]
1,10,1,9,4,9,2,4,4,4,2 [Linha: 4295]
1,11,2,10,1,10,3,11,1,1,2 [Linha: 4343]
1,5,3,9,4,13,3,5,1,9,2 [Linha: 4352]
1,2,4,8,2,4,1,8,4,2,2 [Linha: 4356]
3,12,1,3,4,11,2,12,3,11,2 [Linha: 4377]
2,8,4,4,4,8,2,11,3,4,2 [Linha: 4398]
1,12,4,10,4,12,2,2,4,2,2 [Linha: 4402]
1,6,3,6,4,11,4,5,2,11,2 [Linha: 4443]
2,4,3,7,3,8,1,4,1,7,2 [Linha: 4489]
2,6,4,5,1,6,4,6,2,1,3 [Linha: 4493]
2,13,2,8,3,13,4,12,1,12,2 [Linha: 4496]
3,7,3,10,3,2,1,2,1,10,2 [Linha: 4522]
2,2,2,4,1,9,3,9,4,4,2 [Linha: 4534]
2,9,4,1,1,1,4,10,1,9,2 [Linha: 4539]
4,10,4,3,3,3,3,10,1,6,2 [Linha: 4554]
4,6,1,5,3,12,3,5,4,12,2 [Linha: 4563]
3,11,1,5,4,5,4,11,4,1,2 [Linha: 4599]
2,2,1,2,4,8,1,9,3,8,2 [Linha: 4655]
4,12,1,12,3,10,4,2,4,10,2 [Linha: 4675]
3,2,2,2,1,7,3,7,2,12,2 [Linha: 4688]
4,12,2,12,2,5,1,10,1,5,2 [Linha: 4695]
2,8,3,9,4,11,3,11,2,11,3 [Linha: 4712]
1,10,4,10,2,4,1,6,4,6,2 [Linha: 4720]
2,8,4,6,4,8,3,4,2,6,2 [Linha: 4751]
3,10,1,7,3,7,1,10,3,3,2 [Linha: 4773]
2,9,4,9,3,1,4,2,1,9,3 [Linha: 4774]
2,10,1,6,1,1,3,10,3,1,2 [Linha: 4775]
2,8,3,13,1,8,4,13,3,3,2 [Linha: 4847]
2,6,3,6,2,5,1,5,1,11,2 [Linha: 4962]
